"id","code","name"
classification_2610,"2610","Fabricación de componentes y tableros electrónicos"
classification_2620,"2620","Fabricación de computadoras y de equipo periférico"
classification_2630,"2630","Fabricación de equipos de comunicación"
classification_2640,"2640","Fabricación de aparatos electrónicos de consumo"
classification_2651,"2651","Fabricación de equipo de medición, prueba, navegación y control"
classification_2652,"2652","Fabricación de relojes"
classification_2660,"2660","Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico"
classification_2670,"2670","Fabricación de instrumentos ópticos y equipo fotográfico"
classification_2680,"2680","Fabricación de medios magnéticos y ópticos para almacenamiento de datos"
classification_2711,"2711","Fabricación de motores, generadores y transformadores eléctricos"
classification_2712,"2712","Fabricación de aparatos de distribución y control de la energía eléctrica"
classification_2720,"2720","Fabricación de pilas, baterías y acumuladores eléctricos"
classification_2731,"2731","Fabricación de hilos y cables eléctricos y de fibra óptica"
classification_2732,"2732","Fabricación de dispositivos de cableado"
classification_2740,"2740","Fabricación de equipos eléctricos de iluminación"
classification_2750,"2750","Fabricación de aparatos de uso doméstico"
classification_2790,"2790","Fabricación de otros tipos de equipo eléctrico n.c.p."
classification_2811,"2811","Fabricación de motores, turbinas, y partes para motores de combustión interna"
classification_2812,"2812","Fabricación de equipos de potencia hidráulica y neumática"
classification_2813,"2813","Fabricación de otras bombas, compresores, grifos y válvulas"
classification_2814,"2814","Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión"
classification_2815,"2815","Fabricación de hornos, hogares y quemadores industriales"
classification_2816,"2816","Fabricación de equipo de elevación y manipulación"
classification_2817,"2817","Fabricación de maquinaria y equipo de oficina (excepto computadoras y equipo periférico)"
classification_2818,"2818","Fabricación de herramientas manuales con motor"
classification_2819,"2819","Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p."
classification_2821,"2821","Fabricación de maquinaria agropecuaria y forestal"
classification_2822,"2822","Fabricación de máquinas formadoras de metal y de máquinas herramienta"
classification_2823,"2823","Fabricación de maquinaria para la metalurgia"
classification_2824,"2824","Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción"
classification_2825,"2825","Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco"
classification_2826,"2826","Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros"
classification_2829,"2829","Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p."
classification_2910,"2910","Fabricación de vehículos automotores y sus motores"
classification_2920,"2920","Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques"
classification_2930,"2930","Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores"
classification_3011,"3011","Construcción de barcos y de estructuras flotantes"
classification_3012,"3012","Construcción de embarcaciones de recreo y deporte"
classification_3020,"3020","Fabricación de locomotoras y de material rodante para ferrocarriles"
classification_3030,"3030","Fabricación de aeronaves, naves espaciales y de maquinaria conexa"
classification_3040,"3040","Fabricación de vehículos militares de combate"
